# x_mm,y_mm,mode
# mode 0 = travel / pen up
# mode 1 = draw / pen down
102.74,92.48,0
100.93,95.62,1
100.41,96.89,1
98.11,96.63,1
94.44,97.15,1
93.67,97.41,1
91.90,95.13,1
89.78,93.52,1
89.78,94.19,1
89.78,94.62,1
89.78,98.29,1
89.26,101.96,1
89.52,105.75,1
91.01,109.01,1
91.85,109.85,1
91.33,111.76,1
91.07,112.23,1
90.30,115.80,1
90.04,119.58,1
90.56,123.26,1
91.78,126.64,1
92.89,129.70,1
92.89,130.07,1
93.67,133.63,1
94.44,137.20,1
93.93,138.37,1
92.89,136.29,1
92.37,133.50,1
92.37,132.62,1
91.85,128.95,1
90.50,125.62,1
89.00,125.15,1
88.60,127.08,1
89.52,130.58,1
90.65,133.79,1
90.56,134.04,1
91.07,137.72,1
91.07,141.61,1
89.70,144.93,1
89.52,145.11,1
85.89,145.11,1
82.00,145.11,1
78.11,145.11,1
77.59,144.85,1
79.67,142.45,1
80.70,138.99,1
80.96,135.21,1
80.96,135.19,1
80.70,131.43,1
80.70,131.41,1
79.67,127.97,1
77.44,125.00,1
76.04,121.69,1
76.04,117.80,1
75.78,114.02,1
75.26,112.96,1
77.41,111.85,1
79.61,108.87,1
80.16,107.55,1
81.52,105.92,1
84.35,103.36,1
84.85,101.81,1
82.93,101.30,1
79.67,102.07,1
79.45,101.86,1
76.81,99.22,1
74.22,97.93,1
73.96,97.27,1
73.67,96.08,1
73.13,93.72,1
72.41,93.00,1
71.07,94.86,1
69.24,97.99,1
66.59,100.63,1
65.41,104.03,1
64.63,107.59,1
63.07,110.84,1
61.09,113.91,1
59.70,117.22,1
58.89,120.77,1
57.61,124.13,1
56.14,127.41,1
55.63,129.48,1
55.04,130.84,1
54.13,134.35,1
53.90,138.02,1
55.00,141.45,1
57.80,143.72,1
61.16,145.01,1
64.82,145.04,1
67.41,145.55,1
68.25,146.14,1
70.97,148.60,1
72.15,150.76,1
72.41,151.89,1
72.20,155.69,1
71.28,159.20,1
70.00,162.56,1
69.37,164.74,1
68.90,165.99,1
69.03,169.73,1
71.19,172.42,1
72.67,172.85,1
74.63,172.19,1
77.07,172.07,1
77.59,173.04,1
75.73,176.01,1
72.30,177.11,1
70.20,177.12,1
68.87,176.31,1
66.23,173.67,1
65.13,170.24,1
64.63,168.52,1
64.63,166.55,1
65.23,162.91,1
66.44,159.53,1
67.74,156.17,1
68.26,152.50,1
66.88,149.18,1
63.93,146.93,1
60.55,145.70,1
56.81,145.33,1
53.01,145.11,1
49.13,145.11,1
45.24,145.11,1
41.35,145.11,1
37.46,145.11,1
33.57,145.11,1
29.68,145.11,1
25.79,145.11,1
21.90,145.11,1
18.01,145.11,1
14.13,145.11,1
11.22,145.11,1
11.95,145.37,1
15.84,145.37,1
19.73,145.37,1
23.61,145.37,1
27.50,145.37,1
31.39,145.37,1
35.28,145.37,1
39.17,145.37,1
43.06,145.37,1
46.95,145.37,1
50.84,145.37,1
54.73,145.37,1
58.51,145.63,1
62.07,146.41,1
65.27,148.08,1
67.54,150.88,1
68.00,154.36,1
66.96,157.82,1
65.67,161.17,1
64.76,164.69,1
65.41,172.09,1
67.22,175.23,1
73.92,177.00,1
77.06,175.19,1
77.17,171.91,1
76.81,171.56,1
73.75,172.33,1
71.89,172.59,1
70.38,171.60,1
68.92,168.32,1
70.59,161.35,1
71.89,158.00,1
72.67,154.44,1
70.46,147.57,1
63.92,144.59,1
60.24,144.59,1
57.03,142.96,1
54.52,140.26,1
54.00,136.59,1
54.71,132.99,1
56.91,126.13,1
58.38,122.84,1
59.44,119.40,1
60.39,115.90,1
62.04,112.70,1
63.88,109.57,1
65.15,106.20,1
65.93,102.64,1
67.91,99.57,1
70.48,96.74,1
71.94,93.46,1
72.15,93.26,1
73.96,98.19,1
75.36,98.81,1
78.42,100.83,1
79.15,102.33,1
81.01,101.81,1
84.59,101.91,1
84.59,101.81,1
82.51,104.93,1
78.14,110.60,1
75.52,112.70,1
75.12,112.70,1
72.45,110.15,1
69.22,108.56,1
66.70,108.30,1
66.53,109.42,1
69.07,111.96,1
72.54,112.96,1
74.74,112.96,1
75.52,114.11,1
75.78,117.89,1
75.78,121.78,1
77.25,125.06,1
79.45,128.04,1
80.46,138.87,1
79.41,142.32,1
77.07,144.85,1
76.83,144.85,1
73.24,144.13,1
69.59,143.56,1
67.74,143.81,1
68.48,145.07,1
71.82,146.41,1
75.49,145.89,1
78.95,145.37,1
82.84,145.37,1
86.73,145.37,1
89.78,145.37,1
90.19,144.70,1
91.29,141.27,1
91.33,137.40,1
89.78,130.26,1
88.74,126.80,1
89.52,125.15,1
90.76,126.39,1
91.85,129.83,1
92.96,137.15,1
94.19,138.37,1
94.70,136.73,1
93.91,133.17,1
91.85,126.24,1
90.56,122.89,1
90.30,119.11,1
90.56,115.33,1
92.11,109.85,1
91.05,108.79,1
89.52,105.53,1
89.52,101.64,1
90.04,97.97,1
90.04,93.78,1
92.50,95.98,1
93.67,97.67,1
95.00,97.11,1
98.58,96.89,1
100.67,97.15,1
101.19,95.67,1
103.04,92.78,1
103.00,92.74,1
103.78,96.37,1
104.04,99.12,1
104.30,100.04,1
105.07,103.61,1
104.54,107.28,1
104.30,108.30,1
106.07,110.33,1
108.09,113.38,1
109.74,116.59,1
112.64,118.97,1
114.71,121.04,1
115.19,121.81,1
116.67,125.08,1
117.52,128.62,1
117.78,131.43,1
117.78,132.40,1
117.26,136.07,1
116.48,139.64,1
115.03,142.93,1
113.37,145.37,1
112.61,145.37,1
108.83,145.63,1
104.94,145.63,1
101.38,144.85,1
98.04,143.52,1
94.76,142.05,1
92.11,142.26,1
91.59,143.16,1
92.63,146.62,1
95.57,148.83,1
99.01,149.93,1
