# Sampled contour points in pixel coordinates (x_px, y_px)
# point_spacing_px = 15.0

# Contour 0
377.000, 16.000
370.000, 28.101
368.000, 33.000
359.142, 32.000
344.971, 34.000
342.000, 35.000
335.201, 26.201
327.000, 20.000
327.000, 22.584
327.000, 24.230
327.000, 38.402
325.000, 52.574
326.000, 67.159
331.770, 79.770
335.000, 83.000
333.000, 90.371
332.000, 92.189
329.000, 105.946
328.000, 120.532
330.000, 134.704
334.740, 147.740
339.000, 159.572
339.000, 160.976
342.000, 174.733
345.000, 188.490
343.000, 193.000
339.000, 184.995
337.000, 174.227
337.000, 170.823
335.000, 156.652
329.804, 143.804
324.000, 142.000
322.439, 149.439
326.000, 162.963
330.345, 175.345
330.000, 176.307
332.000, 190.478
332.000, 205.478
326.712, 218.288
326.000, 219.000
312.007, 219.000
297.007, 219.000
282.007, 219.000
280.000, 218.000
288.000, 208.735
292.000, 195.392
293.000, 180.806
293.000, 180.737
292.000, 166.220
292.000, 166.151
288.000, 152.877
279.428, 141.428
274.000, 128.676
274.000, 113.676
273.000, 99.090
271.000, 95.000
279.300, 90.700
287.785, 79.215
289.897, 74.103
295.149, 67.851
306.049, 57.951
308.000, 52.000
300.588, 50.000
288.000, 53.000
287.173, 52.173
276.973, 42.000
267.000, 37.000
266.000, 34.458
264.869, 29.869
262.788, 20.788
260.000, 18.000
254.839, 25.161
247.767, 37.233
237.575, 47.425
233.000, 60.530
230.000, 74.287
224.000, 86.802
216.362, 98.638
211.000, 111.417
207.877, 125.123
202.927, 138.073
197.270, 150.730
195.280, 158.720
193.000, 163.961
189.492, 177.508
188.630, 191.630
192.872, 204.872
203.650, 213.650
216.600, 218.600
230.721, 218.721
240.712, 220.712
243.964, 222.964
254.449, 232.449
259.000, 240.793
260.000, 245.150
259.187, 259.813
255.651, 273.349
250.701, 286.299
248.297, 294.703
246.459, 299.541
246.955, 313.955
255.319, 324.319
261.000, 326.000
268.562, 323.438
278.000, 323.000
280.000, 326.724
272.831, 338.169
259.589, 342.411
251.477, 342.477
246.346, 339.346
236.154, 329.154
231.911, 315.911
230.000, 309.302
230.000, 301.703
232.332, 287.668
237.000, 274.602
242.000, 261.673
244.000, 247.502
238.698, 234.698
227.301, 226.000
214.263, 221.263
199.849, 219.849
185.200, 219.000
170.200, 219.000
155.200, 219.000
140.200, 219.000
125.200, 219.000
110.200, 219.000
95.200, 219.000
80.200, 219.000
65.200, 219.000
50.200, 219.000
35.200, 219.000
24.000, 219.000
26.800, 220.000
41.800, 220.000
56.800, 220.000
71.800, 220.000
86.800, 220.000
101.800, 220.000
116.800, 220.000
131.800, 220.000
146.800, 220.000
161.800, 220.000
176.800, 220.000
191.800, 220.000
206.386, 221.000
220.143, 224.000
232.465, 230.465
241.243, 241.243
243.000, 254.687
239.000, 268.030
234.000, 280.959
230.493, 294.507
233.000, 323.060
240.000, 335.160
265.847, 342.000
277.963, 335.037
278.381, 322.381
277.000, 321.000
265.195, 324.000
258.000, 325.000
252.188, 321.188
246.531, 308.531
253.000, 281.651
258.000, 268.722
261.000, 254.965
252.490, 228.490
227.249, 217.000
213.077, 217.000
200.691, 210.691
191.000, 200.291
189.000, 186.119
191.744, 172.256
200.230, 145.770
205.886, 133.114
210.000, 119.817
213.665, 106.335
220.029, 93.971
227.100, 81.900
232.000, 68.930
235.000, 55.173
242.656, 43.344
252.555, 32.445
258.212, 19.788
259.000, 19.000
266.000, 38.000
271.405, 40.405
283.183, 48.183
286.000, 54.000
293.188, 52.000
307.000, 52.359
307.000, 52.000
298.968, 64.032
282.119, 85.881
272.000, 94.000
270.481, 94.000
260.148, 84.148
247.695, 78.000
238.000, 77.000
237.337, 81.337
247.115, 91.115
260.506, 95.000
269.000, 95.000
272.000, 99.435
273.000, 114.021
273.000, 129.021
278.672, 141.672
287.157, 153.157
291.065, 194.935
287.000, 208.252
278.000, 218.000
277.062, 218.000
263.216, 215.216
249.133, 213.000
242.000, 214.000
244.856, 218.856
257.725, 224.000
271.896, 222.000
285.239, 220.000
300.239, 220.000
315.239, 220.000
327.000, 220.000
328.583, 217.417
332.826, 204.174
333.000, 189.246
327.000, 161.731
323.000, 148.388
326.000, 142.000
330.797, 146.797
335.000, 160.056
339.282, 188.282
344.000, 193.000
346.000, 186.672
342.940, 172.940
335.000, 146.229
330.000, 133.300
329.000, 118.714
330.000, 104.128
336.000, 83.000
331.898, 78.898
